ScaffoldNickname,Scaffold,Length,newChr,newStart,newEnd,newOrientation,oldChr,oldStart,oldEnd
1Sc1,83,540082,chrI,1,540082,reverse,chrI,1,540082
UnSc82,186,138358,chrI,541083,679440,unknown,chrUn,37499023,37637380
1Sc2,92,507020,chrI,680441,1187460,forward,chrI,541083,1048102
1Sc3,97,495247,chrI,1188461,1683707,forward,chrI,1049103,1544349
UnSc72,175,171423,chrI,1684708,1856130,forward,chrUn,36027951,36199373
UnSc64,165,168374,chrI,1857131,2025504,forward,chrUn,34620012,34788385
1Sc4,30,4389048,chrI,2026505,6415552,forward,chrI,1545350,5934397
1Sc5,7,13985904,chrI,6416553,20402456,forward,chrI,5935398,19921301
UnSc30,119,290161,chrI,20403457,20693617,forward,chrUn,26706540,26996700
1Sc6,22,7367927,chrI,20694618,28062544,reverse,chrI,19922302,27290228
UnSc12,74,682422,chrI,28063545,28745966,forward,chrUn,18321482,19003903
1Sc8,82,599131,chrI,28746967,29346097,reverse,chrI,27586784,28185914
1Sc7,123,294555,chrI,29347098,29641652,unknown,chrI,27291229,27585783
UnSc21,98,411577,chrII,1,411577,reverse,chrUn,23343224,23754800
2Sc1,63,965607,chrII,412578,1378184,reverse,chrII,1,965607
2Sc2,0,21409249,chrII,1379185,22788433,forward,chrII,966608,22375856
2Sc4,102,466467,chrII,22789434,23255900,forward,chrII,22829186,23295652
2Sc3,96,451329,chrII,23256901,23708229,reverse,chrII,22376857,22828185
3Sc1,33,3268600,chrIII,1,3268600,forward,chrIII,1,3268600
3Sc2,15,10827426,chrIII,3269601,14097026,forward,chrIII,3269601,14097026
3Sc3,78,638921,chrIII,14098027,14736947,forward,chrIII,14098027,14736947
UnSc68,169,154270,chrIII,14737948,14892217,forward,chrUn,35298962,35453231
3Sc4,81,536865,chrIII,14893218,15430082,forward,chrIII,14737948,15274812
UnSc94,201,142603,chrIII,15431083,15573685,unknown,chrUn,38908937,39051539
3Sc5,50,1522694,chrIII,15574686,17097379,forward,chrIII,15275813,16798506
UnSc42,135,246067,chrIII,17098380,17344446,reverse,chrUn,30097082,30343148
UnSc31,120,303103,chrIII,17345447,17648549,reverse,chrUn,26997701,27300803
UnSc60,161,158182,chrIII,17649550,17807731,forward,chrUn,33862777,34020958
4Sc1,65,1068876,chrIV,1,1068876,forward,chrIV,1,1068876
4Sc2,222,103458,chrIV,1069877,1173334,unknown,chrIV,1069877,1173334
